Depth (m),"Gasage (EDML1 Sz4, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Reference,station,uni
1695.92,59225.76,60109.88,216.66,0.84,2.0,EDML (49-115 kyr BP),University of Bern
1700.63,59489.29,60373.06,212.87,0.71,2.0,EDML (49-115 kyr BP),University of Bern
1702.97,59622.57,60516.63,217.25,0.6,2.0,EDML (49-115 kyr BP),University of Bern
1707.92,59902.7,60817.62,213.78,1.38,2.0,EDML (49-115 kyr BP),University of Bern
1711.63,60114.84,61060.88,207.95,1.26,2.0,EDML (49-115 kyr BP),University of Bern
1713.94,60269.98,61234.84,210.57,1.01,2.0,EDML (49-115 kyr BP),University of Bern
1718.92,60599.37,61554.11,210.9,0.7,2.0,EDML (49-115 kyr BP),University of Bern
1723.63,60931.72,61900.72,206.38,1.2,2.0,EDML (49-115 kyr BP),University of Bern
1731.92,61534.0,62552.01,202.56,0.95,2.0,EDML (49-115 kyr BP),University of Bern
1734.8,61763.36,62774.57,202.71,2.34,2.0,EDML (49-115 kyr BP),University of Bern
1736.95,61946.53,62960.9,200.15,0.65,2.0,EDML (49-115 kyr BP),University of Bern
1743.97,62480.86,63555.79,197.4,1.22,2.0,EDML (49-115 kyr BP),University of Bern
1747.63,62742.78,63896.88,197.24,0.78,1.0,EDML (49-115 kyr BP),University of Bern
1749.97,62924.5,64113.78,199.73,1.31,1.0,EDML (49-115 kyr BP),University of Bern
1755.97,63379.87,64657.29,203.7,0.51,1.0,EDML (49-115 kyr BP),University of Bern
1758.63,63590.16,64867.42,201.67,1.19,1.0,EDML (49-115 kyr BP),University of Bern
1760.93,63750.75,65046.72,199.17,0.66,1.0,EDML (49-115 kyr BP),University of Bern
1767.98,64253.2,65546.45,208.98,3.34,1.0,EDML (49-115 kyr BP),University of Bern
1770.63,64446.38,65764.51,198.17,0.74,1.0,EDML (49-115 kyr BP),University of Bern
1772.93,64619.76,65937.23,200.59,1.46,1.0,EDML (49-115 kyr BP),University of Bern
1779.97,65145.08,66439.31,204.39,2.87,1.0,EDML (49-115 kyr BP),University of Bern
1786.97,65711.58,66959.71,207.21,1.69,1.0,EDML (49-115 kyr BP),University of Bern
1791.98,66072.68,67314.59,201.14,2.0,1.0,EDML (49-115 kyr BP),University of Bern
1797.97,66505.71,67729.68,203.76,1.06,1.0,EDML (49-115 kyr BP),University of Bern
1803.98,66940.94,68146.19,200.17,1.62,1.0,EDML (49-115 kyr BP),University of Bern
1809.96,67377.7,68619.99,203.43,0.57,1.0,EDML (49-115 kyr BP),University of Bern
1815.98,67819.52,69081.53,205.42,0.89,1.0,EDML (49-115 kyr BP),University of Bern
1821.97,68224.68,69592.02,211.26,1.13,1.0,EDML (49-115 kyr BP),University of Bern
1828.9,68724.33,70052.16,215.55,1.78,1.0,EDML (49-115 kyr BP),University of Bern
1833.95,69122.79,70427.26,220.33,0.55,1.0,EDML (49-115 kyr BP),University of Bern
1840.9,69628.02,70928.87,225.17,1.38,1.0,EDML (49-115 kyr BP),University of Bern
1845.97,69983.43,71279.17,235.02,1.24,1.0,EDML (49-115 kyr BP),University of Bern
1851.9,70356.3,71693.65,237.56,0.75,1.0,EDML (49-115 kyr BP),University of Bern
1857.94,70768.48,72092.81,239.46,0.88,1.0,EDML (49-115 kyr BP),University of Bern
1863.9,71167.03,72490.15,232.79,0.94,1.0,EDML (49-115 kyr BP),University of Bern
1869.94,71597.51,72866.04,232.33,0.97,1.0,EDML (49-115 kyr BP),University of Bern
1875.91,72060.67,73219.32,230.89,2.09,1.0,EDML (49-115 kyr BP),University of Bern
1882.94,72647.13,73750.96,232.74,0.94,1.0,EDML (49-115 kyr BP),University of Bern
1888.91,73062.98,74221.48,231.33,0.7,1.0,EDML (49-115 kyr BP),University of Bern
1892.94,73346.3,74525.65,241.24,0.98,1.0,EDML (49-115 kyr BP),University of Bern
1899.9,73768.95,75067.95,243.27,1.62,1.0,EDML (49-115 kyr BP),University of Bern
1906.97,74174.71,75545.13,249.52,0.74,1.0,EDML (49-115 kyr BP),University of Bern
1911.9,74463.49,75850.65,249.94,0.63,1.0,EDML (49-115 kyr BP),University of Bern
1917.94,74852.26,76247.47,239.34,1.12,1.0,EDML (49-115 kyr BP),University of Bern
1923.9,75250.47,76696.74,238.01,1.98,1.0,EDML (49-115 kyr BP),University of Bern
1928.94,75627.74,77056.48,231.68,1.54,1.0,EDML (49-115 kyr BP),University of Bern
1935.9,76177.55,77615.92,224.92,1.3,1.0,EDML (49-115 kyr BP),University of Bern
1941.97,76658.0,78080.75,226.65,0.84,1.0,EDML (49-115 kyr BP),University of Bern
1947.9,77112.04,78507.95,224.14,0.65,1.0,EDML (49-115 kyr BP),University of Bern
1953.94,77597.08,78969.54,227.3,0.56,1.0,EDML (49-115 kyr BP),University of Bern
1959.9,78106.07,79410.36,229.26,1.34,1.0,EDML (49-115 kyr BP),University of Bern
1965.97,78624.97,79877.76,234.74,0.72,1.0,EDML (49-115 kyr BP),University of Bern
1971.9,79167.33,80330.36,230.6,0.62,1.0,EDML (49-115 kyr BP),University of Bern
1976.94,79633.1,80721.79,233.92,1.46,1.0,EDML (49-115 kyr BP),University of Bern
1983.9,80279.65,81206.94,230.33,0.8,1.0,EDML (49-115 kyr BP),University of Bern
1990.94,80935.76,81711.43,234.13,1.17,1.0,EDML (49-115 kyr BP),University of Bern
1995.9,81395.64,82068.79,238.89,0.94,1.0,EDML (49-115 kyr BP),University of Bern
2001.97,81937.85,82526.72,240.87,1.64,1.0,EDML (49-115 kyr BP),University of Bern
2007.9,82453.39,82988.26,246.32,0.7,1.0,EDML (49-115 kyr BP),University of Bern
2014.97,83053.93,83554.11,247.1,1.0,1.0,EDML (49-115 kyr BP),University of Bern
2019.9,83454.17,83940.9,250.79,0.8,1.0,EDML (49-115 kyr BP),University of Bern
2024.96,83855.63,84357.44,243.16,0.76,1.0,EDML (49-115 kyr BP),University of Bern
2031.9,84410.48,84936.77,238.42,1.1,1.0,EDML (49-115 kyr BP),University of Bern
2036.94,84815.35,85367.47,234.69,0.6,1.0,EDML (49-115 kyr BP),University of Bern
2042.9,85297.47,85890.69,228.76,1.57,1.0,EDML (49-115 kyr BP),University of Bern
2049.97,85886.25,86498.32,223.38,0.72,1.0,EDML (49-115 kyr BP),University of Bern
2055.9,86428.24,87027.64,221.06,2.32,1.0,EDML (49-115 kyr BP),University of Bern
2061.95,87009.06,87581.18,223.63,0.93,1.0,EDML (49-115 kyr BP),University of Bern
2067.9,87604.08,88136.18,217.8,1.57,1.0,EDML (49-115 kyr BP),University of Bern
2073.97,88185.9,88701.05,223.99,0.5,1.0,EDML (49-115 kyr BP),University of Bern
2079.9,88756.9,89244.72,227.38,1.1,1.0,EDML (49-115 kyr BP),University of Bern
2084.94,89196.8,89696.26,228.88,0.58,1.0,EDML (49-115 kyr BP),University of Bern
2091.9,89830.2,90317.29,229.74,1.29,1.0,EDML (49-115 kyr BP),University of Bern
2097.94,90409.79,90834.02,231.56,0.57,1.0,EDML (49-115 kyr BP),University of Bern
2103.89,90981.48,91445.03,231.12,0.57,1.0,EDML (49-115 kyr BP),University of Bern
2108.89,91482.86,91949.74,233.74,1.11,1.0,EDML (49-115 kyr BP),University of Bern
2115.9,92314.69,92667.82,232.46,2.22,1.0,EDML (49-115 kyr BP),University of Bern
2122.97,93256.91,93424.71,235.16,0.83,1.0,EDML (49-115 kyr BP),University of Bern
2126.9,93695.67,93823.21,238.21,0.77,1.0,EDML (49-115 kyr BP),University of Bern
2133.97,94423.75,94568.55,242.41,0.53,1.0,EDML (49-115 kyr BP),University of Bern
2139.9,95093.09,95234.11,242.91,1.07,1.0,EDML (49-115 kyr BP),University of Bern
2145.97,95826.48,95921.48,246.2,1.54,1.0,EDML (49-115 kyr BP),University of Bern
2150.9,96375.59,96474.88,245.76,0.6,1.0,EDML (49-115 kyr BP),University of Bern
2157.89,97143.55,97270.89,242.35,2.04,1.0,EDML (49-115 kyr BP),University of Bern
2163.9,97827.08,97927.46,239.86,0.45,1.0,EDML (49-115 kyr BP),University of Bern
2169.89,98530.23,98583.72,243.18,0.23,1.0,EDML (49-115 kyr BP),University of Bern
2176.9,99285.16,99361.42,242.99,1.01,1.0,EDML (49-115 kyr BP),University of Bern
2182.97,100002.95,100076.85,245.63,1.07,1.0,EDML (49-115 kyr BP),University of Bern
2186.9,100485.89,100543.18,247.87,1.1,1.0,EDML (49-115 kyr BP),University of Bern
2193.94,101471.71,101325.68,244.76,1.13,1.0,EDML (49-115 kyr BP),University of Bern
2199.9,102347.75,101971.89,240.07,0.94,1.0,EDML (49-115 kyr BP),University of Bern
2206.97,103346.58,102764.78,237.07,1.75,1.0,EDML (49-115 kyr BP),University of Bern
2210.9,103960.9,103308.74,240.68,0.94,1.0,EDML (49-115 kyr BP),University of Bern
2217.94,105073.65,104274.33,247.76,0.83,1.0,EDML (49-115 kyr BP),University of Bern
2223.9,106013.18,105121.44,251.62,0.94,1.0,EDML (49-115 kyr BP),University of Bern
2228.93,106780.99,105886.58,262.74,1.38,1.0,EDML (49-115 kyr BP),University of Bern
2236.9,107895.17,107163.27,241.64,1.48,1.0,EDML (49-115 kyr BP),University of Bern
2241.95,108754.98,108066.28,239.78,1.29,1.0,EDML (49-115 kyr BP),University of Bern
2247.91,109776.6,109005.13,245.21,2.08,1.0,EDML (49-115 kyr BP),University of Bern
2252.95,110584.84,109751.5,251.75,1.91,1.0,EDML (49-115 kyr BP),University of Bern
2259.91,111818.09,110768.33,253.99,1.57,1.0,EDML (49-115 kyr BP),University of Bern
2265.95,112685.63,111626.22,263.95,0.69,1.0,EDML (49-115 kyr BP),University of Bern
2271.61,113400.73,112457.67,268.7,0.58,1.0,EDML (49-115 kyr BP),University of Bern
2277.98,114193.5,113429.26,276.15,0.55,1.0,EDML (49-115 kyr BP),University of Bern
